Concurso,Data do Sorteio,Coluna1,Coluna2,Coluna3,Coluna4,Coluna5,Coluna6,Ganhadores Faixa 1,Ganhadores Faixa 2,Ganhadores Faixa 3,Acumulado,Sorteio Especial
252,2000-12-30,4,17,26,32,51,54,2,354,22122,false,false
253,2001-01-06,11,12,24,37,44,56,0,126,7260,true,false
254,2001-01-13,1,4,21,22,30,56,0,66,6381,true,false
255,2001-01-20,16,19,20,32,44,55,0,80,6812,true,false
256,2001-01-27,2,21,26,32,34,52,0,91,6319,true,false
257,2001-02-03,1,4,5,19,28,34,1,175,11706,false,false
258,2001-02-10,7,12,50,54,55,60,0,53,3615,true,false
259,2001-02-17,13,15,20,33,43,58,0,65,5581,true,false
260,2001-02-24,4,6,33,43,59,60,0,120,8956,true,false
261,2001-03-03,5,16,20,30,54,56,0,91,7281,true,false
262,2001-03-10,11,20,48,53,58,60,0,108,8838,true,false
263,2001-03-17,8,9,26,43,50,53,0,136,12752,true,false
264,2001-03-24,1,5,13,25,31,33,2,979,50364,false,false
265,2001-03-31,7,16,34,41,50,53,0,64,3855,true,false
266,2001-04-07,2,23,38,46,48,54,0,89,6687,true,false
267,2001-04-14,1,8,45,46,55,58,0,46,4076,true,false
268,2001-04-21,5,6,10,21,33,47,0,111,10133,true,false
269,2001-04-28,17,18,19,25,49,52,0,110,8717,true,false
270,2001-05-05,5,9,27,35,40,45,1,228,16867,false,false
271,2001-05-12,14,24,26,29,31,54,0,43,4385,true,false
272,2001-05-19,9,10,24,36,56,58,0,70,5491,true,false
273,2001-05-26,10,17,23,27,47,52,1,92,7241,false,false
274,2001-06-02,11,13,18,26,39,47,0,142,7420,true,false
275,2001-06-09,16,19,30,37,38,48,0,41,3737,true,false
276,2001-06-16,22,39,45,53,57,59,0,79,5172,true,false
277,2001-06-23,4,26,38,40,52,56,0,95,5404,true,false
278,2001-06-30,10,15,18,22,31,55,0,99,6996,true,false
279,2001-07-07,4,23,31,47,58,59,0,58,6137,true,false
280,2001-07-14,5,16,20,25,30,58,0,192,14673,true,false
281,2001-07-21,5,11,31,38,47,53,1,188,12864,false,false
282,2001-07-28,9,14,23,24,33,36,1,76,6064,false,false
283,2001-08-01,25,28,34,42,48,54,1,36,2126,false,false
284,2001-08-04,7,8,14,30,32,36,1,75,5358,false,false
285,2001-08-08,12,32,37,41,50,56,0,17,1173,true,false
286,2001-08-11,29,35,37,44,47,56,0,59,3739,true,false
287,2001-08-15,3,13,25,33,47,60,1,110,5633,false,false
288,2001-08-18,6,9,11,17,18,50,0,82,4763,true,false
289,2001-08-22,6,7,20,25,30,36,0,29,2197,true,false
290,2001-08-25,7,25,26,30,40,57,0,56,4869,true,false
291,2001-08-29,5,16,17,18,22,41,0,71,4870,true,false
292,2001-09-01,13,23,24,34,45,53,0,116,8670,true,false
293,2001-09-05,5,6,7,12,28,35,0,167,10185,true,false
294,2001-09-08,22,25,28,41,45,57,2,130,7434,false,false
295,2001-09-12,7,12,24,31,44,50,0,36,2055,true,false
296,2001-09-15,3,20,42,46,51,52,0,29,2348,true,false
297,2001-09-19,1,20,28,33,36,41,0,25,1920,true,false
298,2001-09-22,5,22,23,24,34,60,1,50,4372,false,false
299,2001-09-26,2,5,7,33,49,53,0,33,2049,true,false
300,2001-09-29,24,27,28,38,41,57,0,48,4820,true,false
301,2001-10-03,9,26,48,49,57,58,0,28,2892,true,false
302,2001-10-06,12,25,30,40,41,60,0,101,6361,true,false
303,2001-10-10,7,13,17,30,37,47,1,215,12861,false,false
304,2001-10-13,7,11,34,41,42,59,0,58,3274,true,false
305,2001-10-17,5,11,27,38,53,60,0,47,3770,true,false
306,2001-10-20,19,30,41,47,56,57,0,28,2294,true,false
307,2001-10-24,13,16,17,26,41,44,0,44,3962,true,false
308,2001-10-27,4,11,25,29,39,55,1,62,5173,false,false
309,2001-10-31,4,11,25,39,50,55,1,3001,2997,false,false
310,2001-11-03,2,14,28,29,31,32,0,81,5093,true,false
311,2001-11-07,22,24,30,32,38,41,0,31,2871,true,false
312,2001-11-10,14,23,30,41,47,50,0,76,4985,true,false
313,2001-11-14,14,16,24,37,38,53,0,61,5547,true,false
